"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Farnell","Farell"
"C1,C2","2","33pF","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","4143719",""
"C3,C4,C5","3","100nF","","","","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","CK05BX104K","1740547",""
"C6,C7,C8","3","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","MC0805B104M160CT","1708714",""
"D1,D2,D5","3","LED","","","","LED_THT:LED_D3.0mm","~","","2251291,2984088,3777906",""
"D3","1","1N5819","","","","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","1N5819"," 2677422",""
"D4","1","P6KE6.8A","","","","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","P6KE6.8A","3288608",""
"FB1","1","33 µH, 2.2 ohm","","","","Inductor_SMD:L_0805_2012Metric","~","MLF1608C330KTD25","3648165",""
"J1","1","Anemometre","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","~","","",""
"J2","1","AVR-ISP-6","","","","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","~","75869-131LF","2293757",""
"J3","1","PORT_C_ADC","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","",""
"J4","1","PORT_B","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","",""
"J5","1","Opto_PB0","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","",""
"J6","1","TTL Serial","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","",""
"J7","1","INTs/Ts","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","",""
"J8","1","USB_B_Mini","","","","Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal","~","10033526N3212LF","2813789",""
"J9","1","+5VDC","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"J10","1","PWR_SEL","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","",""
"L1","1","10uH","","","","Inductor_THT:L_Axial_L5.3mm_D2.2mm_P10.16mm_Horizontal_Vishay_IM-1","~","77F100K-TR-RC","2924990",""
"R1","1","10K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","9339060",""
"R2","1","4.7K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","9339540",""
"R3,R4,R5,R6","4","1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~","","9339051",""
"R7,R8","2","100_NM","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","",""
"SW1","1","Reset","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm","~","","",""
"U1","1","ATmega328P-P","","","","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","ATMEGA328P-PU","1715487",""
"U2","1","4N25","","","","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf","CNY75A","1045402",""
"U3","1","FT232RL","","","","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf","FT232RL-REEL","1146032",""
"Y1","1","8MHz","","","","Crystal:Crystal_HC49-U_Vertical","~","ECS-080-20-4X-DU","4076777",""
